filename,treeno,sentence,num_matches
nw/wsj/11/wsj_1189,17,"`` If we 've got folks out there who *T*-1 are being turned *-4 away in the mortgage market improperly and unfairly , '' said *?* Sen. Donald Riegle ( D. , Mich. ) , chairman of the banking committee , `` then that is a matter that *T*-2 needs remedy now , not six months from now , or six years from now , or 26 years from now . ''",2
nw/wsj/12/wsj_1218,45,"TESTS ON 2,800 - year - old mummies from Chile indicate 0 ancient wood fires did n't produce dioxins or dibenzofurans , *PRO* contradicting a theory 0 the two pollutants today are coming from wood burning , General Electric Co. reports 0 *T*-1 in Environmental Science & Technology magazine ... .",1
nw/wsj/12/wsj_1220,6,"The procedure causes `` great uncertainty '' because an investor ca n't be sure of his or her individual liability , Lloyd 's said 0 *T*-1 .",1
nw/wsj/12/wsj_1234,4,"Yesterday , Mr. Blum , 41 , said 0 he was n't aware of plans *ICH*-1 at Ladenburg *PRO* to name a co-chairman 0 *T*-2 to succeed Mr. Koenig and said 0 the board would need *-3 to approve any appointments or title changes .",0
nw/wsj/12/wsj_1234,5,"Mr. Blum added 0 he was n't surprised 0 Mr. Koenig resigned , but his departure was `` nothing that we desired *T*-1 or worked for *T*-1 . ''",0
nw/wsj/12/wsj_1255,3,The agency wo n't allow mushrooms that *T*-2 were canned *-3 or packed *-3 in brine at any Chinese plant to enter the U.S. until `` satisfactory sanitation - control measures *ICH*-4 are implemented *-1 in China *PRO* to prevent '' bacterial contamination .,1
nw/wsj/12/wsj_1264,10,`` Entrepreneurs do n't rush *PRO*-1 to get into a stagnant or declining industry . '',1
nw/wsj/12/wsj_1273,46,"Whatever the case , a Merrill Lynch spokesman emphasizes 0 *?* , investors should n't have *-4 to worry about the uninsured premium issue , unless the bank or thrift that *T*-2 issued the CD is closed *-1 and its deposits paid *-5 off before maturity or transferred to another institution at a lower rate .",2
nw/wsj/12/wsj_1286,76,Anyone who *T*-1 wants *PRO*-3 to appreciate just how bizarre this situation *ICH*-5 is *T*-4 -- with students who *T*-2 ca n't add or subtract `` learning '' the conceptual basis of mathematical theory -- should read the article by Caleb Nelson ( himself a recent math major at Harvard ) in the November American Spectator .,1
nw/wsj/13/wsj_1317,48,I have n't seen *RNR*-1 or talked to *RNR*-1 him in several years . '',1
nw/wsj/13/wsj_1323,30,People are not apt *-1 to be self - conscious about the place or themselves .,1
nw/wsj/13/wsj_1327,7,"Bricktop , another American black woman who *T*-1 found a measure of fame in Paris , said : `` I do n't think 0 I 've ever known anyone with a less complicated view of life , or whose life *T*-2 was more complicated than Josephine 's . ''",1
nw/wsj/13/wsj_1331,19,"There is much speculation *ICH*-1 among attorneys not involved * that the strategy of GAF 's attorney , Arthur Liman , and Mr. Sherwin 's counsel , Stephen Kaufman , will include testimony by Mr. Sherwin or Mr. Heyman .",0
nw/wsj/13/wsj_1359,2,"The regulations , required * under legislation enacted * by Congress last year , will apply to imports of vehicles that *T*-1 were n't built *-2 *PRO*-3 to meet U.S. government auto safety standards and were intended for use in Europe or elsewhere abroad .",0
nw/wsj/13/wsj_1366,52,"`` I do n't know whether it was done *-1 properly or not , because I 'm not a lawyer , '' he said *T*-2 in a telephone interview yesterday .",1
nw/wsj/13/wsj_1368,30,"Because the Soviet ruble is n't convertible into dollars , marks and other Western currencies , companies that *T*-1 hope *PRO*-2 to set up production facilities here must either export some of the goods *PRO*-3 to earn hard currency or find Soviet goods 0 they can take *T*-4 in a counter-trade transaction .",0
nw/wsj/13/wsj_1376,30,"These droppers do n't flaunt only their friendships with the Trumps , Brooke Astor or Georgette Mosbacher .",1
nw/wsj/13/wsj_1376,50,"He says that when Dan Dorfman , a financial columnist with USA Today , has n't returned his phone calls *T*-1 , he leaves messages *ICH*-2 with Mr. Dorfman 's office saying that he has an important story on Donald Trump , Meshulam Riklis or Marvin Davis .",0
nw/wsj/13/wsj_1386,14,"Kodak wo n't disclose the cost or when its converter will be on the market *T*-1 , but it 's estimated 0 the machine may be available within two years .",1
nw/wsj/13/wsj_1389,29,"Consumers , credit cards in hand , are n't running amok through the shopping malls -- or putting the economy at any great risk .",1
nw/wsj/13/wsj_1397,40,"In fact , throughout `` Mancuso FBI , '' we do n't get words or lines -- we get speeches .",1
nw/wsj/14/wsj_1421,9,"He said 0 the inquiry was n't made in a way that the banks could have interpreted *T*-2 as *PRO*-1 either encouraging or discouraging participation , and he added that none of the Japanese banks changed their posture on the deal as a result of the inquiry .",1
nw/wsj/14/wsj_1421,25,"Moreover , analysts point out that Japanese banks have a reputation for *PRO*-2 doing deals that *T*-1 are n't extremely profitable if they offer the chance *PRO* to build market share , cement an important business relationship or curry favor with powerful bureaucrats .",0
nw/wsj/14/wsj_1432,9,"Sarah Hall , an analyst at James Capel ( Far East ) Ltd. , says 0 there is n't much 0 Cathay can do *T*-3 about rising costs for jet fuel , Hong Kong 's tight labor market , or the strengthening of the local currency , which *T*-2 is pegged *-1 to the U.S. dollar .",1
nw/wsj/14/wsj_1432,28,"But he emphasizes that Cathay has n't any interest in *PRO* swapping equity stakes with the U.S. carrier or with Lufthansa , the West German airline with which it has cooperated for about a decade *T*-1 .",1
nw/wsj/14/wsj_1438,13,"Options give a holder the right *RNR*-1 , but not the obligation *RNR*-1 , *PRO* to buy or sell a security at a set price within a set period of time .",0
nw/wsj/14/wsj_1443,5,"But in certain conditions such as autoimmune diseases and allergies and transplant rejection , doctors would like *PRO*-1 to damp the immune response so such cells do n't touch off harmful inflammatory reactions or cell destruction .",1
nw/wsj/14/wsj_1446,5,"He says 0 his aim is *PRO* to reach people who *T*-1 are bedridden , have no access to transportation , ca n't find a lawyer 0 *T*-2 to take their case or simply ca n't afford lawyers ' consultation fees .",0
nw/wsj/14/wsj_1450,2,The reason was not high interest rates or labor costs .,1
nw/wsj/14/wsj_1469,42,"Business is n't any better on the provincial or municipal level , foreign traders say 0 *T*-1 .",1
nw/wsj/14/wsj_1470,14,"The Oil Pollution Act , scheduled *PRO* to come up for a vote in Congress this fall , would provide that if claimants are n't paid within 90 days of a spill , the liability fund would compensate them and seek reimbursement from the owner or operator of the vessel , says 0 *T*-1 a spokesman for Rep. George Miller ( D. , Calif. ) , a sponsor of the bill .",0
nw/wsj/14/wsj_1471,8,"`` Such other amounts will be made *-2 available subsequently as required , '' the legislation reads 0 *?* , and the new obligations `` shall not be a charge against the Budget Act , Gramm - Rudman - Hollings , or other ceilings .",1
nw/wsj/14/wsj_1473,23,"In any case , the foundering middle classes are n't the only ones in trouble -- or whose troubles *T*-1 provide material for fiction .",1
nw/wsj/14/wsj_1493,36,"Among other things , the memo contends that Young & Rubicam gave false assurances that the investigation would n't uncover any information that *T*-1 would `` embarrass the government of Jamaica or the Jamaica Tourist Board . ''",1
nw/wsj/14/wsj_1495,12,Scientists *ICH*-2 are mistaken *-3 who *T*-1 still think that the anti-science movement in this country is n't their concern or that a David Baltimore could have somehow placated a John Dingell .,0
nw/wsj/15/wsj_1502,14,`` Shippers wo n't be able *PRO*-1 to look for transportation - cost savings as they have *?* for the last eight or nine years .,1
nw/wsj/15/wsj_1504,27,"It must be able *PRO*-3 to handle most of the complaints that *T*-4 can not be solved *-1 in the trenches by managers and their subordinates , else the company court or adjudicators will be inundated *-2 with cases .",0
nw/wsj/15/wsj_1515,31,"`` Trelleborg is n't in the same league *ICH*-2 yet as mining giants such as RTZ Corp. or Anglo - American Corp. , '' says *T*-1 Mike Kurtanjek , a mining analyst at James Capel & Co. , London .",1
nw/wsj/15/wsj_1515,44,"But such partnerships are common in mining , where there are n't problems or conflict of interest or risk of cheating by a partner *T*-1 , '' Trelleborg 's president says *T*-2 .",2
nw/wsj/15/wsj_1549,12,"`` For the first time in my life , I was n't sure whether I was listening to our news or West German television . ''",1
nw/wsj/15/wsj_1549,44,"`` Either he was n't being real in the past , or he is n't being real right now , '' says a 30 - year - old East German doctor .",0
nw/wsj/15/wsj_1550,41,"There is n't any way 0 *PRO* to continuously measure the amount of tritium in the heavy water *T*-2 , so it *EXP*-3 's been difficult *PRO* to tell whether the tritium formation is related *-1 to the heat bursts or some other phenomenon .",0
nw/wsj/15/wsj_1564,42,"When it comes to investing *T*-3 , *PRO* trying *PRO*-4 to weigh risk and reward can seem like *PRO* throwing darts blindfolded : Investors do n't know the actual returns that securities will deliver *T*-2 , or the ups and downs that *T*-1 will occur along the way .",1
nw/wsj/15/wsj_1568,16,You do n't hear much about unusual concentrations of fraud in Green Bay or Buffalo .,1
nw/wsj/15/wsj_1571,14,But the new category does not replace or reduce Berkeley 's broad racial preferences .,1
nw/wsj/15/wsj_1572,63,"`` It *EXP*-1 's not uncommon for these guys to send pictures of themselves or their families *PRO*-3 to ingratiate themselves to their clients , '' says *T*-2 Terree Bowers , chief of the major - frauds section of the U.S. attorney 's office in Los Angeles .",1
nw/wsj/15/wsj_1572,71,`` These people are n't necessarily stupid or naive .,1
nw/wsj/15/wsj_1574,37,"The word `` death '' can not be escaped *-1 entirely by the industry , but salesmen dodge it wherever possible *T*-4 or cloak it in euphemisms , *PRO*-2 preferring *PRO*-3 to talk about `` savings '' and `` investment '' instead .",0
nw/wsj/15/wsj_1577,3,"The change in charter does n't alter the federal insurance of deposits , federal regulatory powers or company operations , a spokesman said 0 *T*-1 .",1
nw/wsj/15/wsj_1583,35,"Says *ICH*-1 Michele Hoffman , a clerk in the resort 's front office : `` We do n't have the outdoor pool , the pool table , ping pong table , snack bar or VCR , but we still have the indoor pool and Jacuzzi . ''",1
nw/wsj/16/wsj_1600,19,"Futures and options also make it *EXP*-3 possible *PRO* to build `` synthetic '' index funds that *T*-1 do n't actually own a single share of stock , but can produce returns that *T*-2 match or exceed the broad stock market .",0
nw/wsj/16/wsj_1618,1,"They did n't play the third game of the World Series on Tuesday night as *PRO* scheduled , and they did n't play it on Wednesday or Thursday either .",1
nw/wsj/16/wsj_1620,6,Harley has said 0 it does n't intend *PRO*-2 to be acquired *-1 by the Glazer group or any other party .,1
nw/wsj/16/wsj_1623,67,"Unfortunately , though , recessions vary enough *ICH*-1 in length so that the average ca n't reliably be used *-2 *PRO* to guide investors in *PRO* timing stock sales or purchases .",1
nw/wsj/16/wsj_1631,15,"These people used *-2 to be called *-1 *PRO*-4 brokers , but apparently this word either is not grandiose enough or carries too many negative connotations from the aforementioned technical correction , when terrified customers could n't raise brokers on the phone *T*-3 .",0
nw/wsj/16/wsj_1632,7,"-- The banks will threaten *PRO*-1 not to make further loans , but in truth , *PRO*-2 lacking the capital 0 *PRO* to write off their mistakes or to build a navy *T*-3 , they have no alternative but *PRO* to go along .",0
nw/wsj/16/wsj_1635,47,"That 's why some investment managers , such as Alex Powers , a vice president of Chase Manhattan Bank 's private banking division , do n't recommend most asset - backed issues for individuals in high - tax states , such as New York or California *T*-1 .",1
nw/wsj/16/wsj_1635,60,"The front cover of the prospectus for the Citibank credit - card receivables offering points out in bold capital letters that the certificates represent an interest only in the specially created trust and `` do not represent interests in *RNR*-1 or obligations of *RNR*-1 the banks , Citibank N.A. , Citicorp or any affiliate thereof . ''",2
nw/wsj/16/wsj_1636,31,The two - thirds who *T*-2 have n't tried *PRO*-5 to make their portfolios more recession - resistant were split *-1 about evenly between investors who `` *T*-3 do n't believe in *PRO*-6 trying *PRO*-7 to predict the markets '' ( about 31 % ) and investors who *T*-4 `` do n't expect a recession '' ( about 15 % ) or are `` unsure if and when a recession might come *T*-8 '' ( about 22 % ) .,0
nw/wsj/16/wsj_1640,15,"One expert , whose job *T*-1 is so politically sensitive that he spoke on condition that he would n't be named or quoted *-2 , said 0 the expected influx of East European refugees over the next few years will greatly increase the chances of computer - maintenance workers , for example , doubling as foreign spies .",1
nw/wsj/16/wsj_1643,11,Why not watch or hear your experience historicized *-1 while you were living it ?,1
nw/wsj/16/wsj_1650,14,"`` It may not be weeks or months , but they are also opportunistic and if they feel comfortable , they will move on a deal , '' he said *T*-1 .",1
nw/wsj/16/wsj_1657,11,"The host , Costa Rican President Oscar Arias , did not invite Chile , Cuba , Panama or Haiti to the summit , which *T*-2 was *-3 to be restricted *-1 to democracies .",1
nw/wsj/16/wsj_1667,8,"In Sacramento , a transportation department spokesman said 0 he could n't immediately confirm or deny existence of the test work .",1
nw/wsj/16/wsj_1671,9,Only a month ago he 'd warned Congress *PRO*-1 not to pass legislation *PRO* to pay for abortions in cases of rape or incest .,1
nw/wsj/16/wsj_1684,13,"`` If you do n't know what the rules of the game are *T*-1 , it *EXP*-2 's hard *PRO* to start your fund - raising or design , '' said *T*-3 Dana Smith , an official with Team Dennis Conner .",0
nw/wsj/16/wsj_1691,30,"Although officials of the savings and loan , a unit of Great Western Financial Corp. , used some of their new plans and equipment during this week 's quake , they still lost touch for more than 24 hours with 15 branches in the affected areas , *PRO*-3 not knowing if employees were injured *-1 or vaults were broken *-2 *PRO*-4 open .",1
nw/wsj/16/wsj_1692,10,"`` I do n't know if this will affect one institution or a hundred , '' Mr. Lowell says *T*-1 .",1
nw/wsj/17/wsj_1705,46,"`` So , *PRO* do n't come and try *PRO*-1 to con us with a howdy y'all or a cowboy hat . ''",1
nw/wsj/17/wsj_1760,10,"Not in the kitchen , or the storeroom or the book shop .",2
nw/wsj/17/wsj_1789,48,"`` If we do not integrate into this new world of interdependence , sooner or later we 're going *-2 to become victims of our own isolation , '' he says *T*-1 .",0
nw/wsj/17/wsj_1793,10,"`` As a general rule , prior - review programs have not made case - by - case assessments of the comparative costs of alternative treatments or sites of care . ''",1
nw/wsj/17/wsj_1795,12,"But these proposals do not rest on a view of what the Fed 's problem is *T*-1 or , if they do *?* , they rest on an incorrect view .",0
nw/wsj/17/wsj_1795,42,"The Fed 's problem is not that it is too independent , or too unpolitical .",1
nw/wsj/17/wsj_1797,11,"`` But it still has n't shown that it can win in a state like Pennsylvania or Missouri , where abortion has been clearly an electoral issue *T*-1 and where it 's been an emotional issue for a long time *T*-2 . ''",1
nw/wsj/18/wsj_1850,8,"In Tokyo , a JAL spokesman said 0 he could n't confirm or deny the latest Japanese report .",1
nw/wsj/18/wsj_1869,22,"Separately , Chairman Dan Rostenkowski ( D. , Ill . ) of the House Ways and Means Committee said 0 he did n't want the capital - gains tax cut or any other amendments attached * to the pending bill raising the federal borrowing limit .",1
nw/wsj/18/wsj_1870,34,"Of the scores of companies contacted * by this newspaper , few reported any damage that they did n't expect *PRO*-1 to have *-2 remedied *T*-3 within a day or two .",1
nw/wsj/18/wsj_1870,68,There will be a lot of repair work that *T*-1 wo n't require the quantities of cement or concrete that new constructon would *?* *T*-2 . '',1
nw/wsj/18/wsj_1874,18,"`` This was not a *PRO* do - or - die deal , '' she said *T*-1 .",1
nw/wsj/18/wsj_1875,70,"*PRO* Erasing the differences still dividing Europe , and the vast international reordering 0 that implies *T*-1 , wo n't endanger the statehood of a Poland or a Hungary .",1
nw/wsj/18/wsj_1886,5,"Granges did n't say what impact the moves would have *T*-1 on total gold output or earnings , and company officials were n't available .",1
nw/wsj/19/wsj_1947,16,"Japan and Europe , far more dependent on Mideast oil than the U.S. , would n't offend the Arabs or trade off their precious supplies .",1
nw/wsj/19/wsj_1962,7,"Because a put option gives its owner the right *RNR*-1 , but not the obligation *RNR*-1 , *PRO* to sell a fixed number of shares of the stock at a stated price on or before the option 's expiration date , the investor is protected *-2 against a sudden drop in the stock 's price .",0
nw/wsj/19/wsj_1980,12,"Beyond that , Prospect said 0 it would n't offer *PRO*-1 to acquire additional shares for less than $ 11.25 *U* a share during the next year or less than $ 14.06 *U* a share during the subsequent two years .",1
nw/wsj/20/wsj_2013,20,"The 55 - year - old Mr. Noriega is n't as smooth as the shah of Iran , as well - born as Nicaragua 's Anastasio Somoza , as imperial as Ferdinand Marcos of the Philippines or as bloody as Haiti 's Baby Doc Duvalier .",1
nw/wsj/20/wsj_2030,3,"However , their search notably wo n't include natural gas or pure methanol -- the two front - running alternative fuels -- in tests 0 *T*-2 to be completed *-3 by next summer .",1
nw/wsj/20/wsj_2033,15,"In *PRO* filing an original ( not amended ) return , a couple should consider whether damaged property is owned *-1 jointly or separately and whether one spouse has larger income ; that may determine whether they should file jointly or separately .",0
nw/wsj/20/wsj_2033,20,Among the provisions : Fiscal - year taxpayers with returns due last Monday wo n't be penalized *-1 if they file -- or request an extension -- and pay tax due by Nov. 15 .,1
nw/wsj/20/wsj_2033,22,"Extensions ca n't be granted *-1 for *PRO* filing employment - tax returns due Oct. 31 or for *PRO* depositing withheld taxes , but late penalties will be abated *-2 for deposits made * by Nov. 15 .",1
nw/wsj/20/wsj_2034,31,But the club still insists that public lands ought *PRO*-1 to be closed *-1 to the bikes unless studies indicate 0 the bikes wo n't injure the environment or other users .,1
nw/wsj/20/wsj_2036,8,`` People are breathing a major sigh *ICH*-1 of relief that the world did n't end Monday morning '' or yesterday .,1
nw/wsj/20/wsj_2045,2,"Gold , which *T*-1 has n't risen or fallen significantly in quite some time , yesterday achieved what *T*-2 may be a new level of impassiveness : The most actively traded futures contracts closed unchanged despite nervous fluctuations in both the dollar and the stock market .",1
nw/wsj/20/wsj_2045,22,"`` I do n't know what it means *T*-1 over the long run , but for the short term , it appears that gold producers are grateful for the $ 10 *U* or so that gold has risen *T*-2 over the past week or so , '' he said *T*-3 .",0
nw/wsj/20/wsj_2052,45,"The resistance lacks not only air power , armor and expertise but often such essentials as maps , mine detectors , or even winter gloves .",0
nw/wsj/20/wsj_2052,50,"Last summer , in response to congressional criticism , the State Department and the CIA said 0 they had resumed military aid to the resistance months after it was cut *-3 off ; but it *EXP*-2 is not clear how much *T*-5 is being sent *-4 or when it will arrive *T*-1 .",1
nw/wsj/20/wsj_2053,7,It *EXP*-1 is n't surprising that President Bush has n't led a crusade *PRO* to pump up the Contras or SDI .,2
nw/wsj/20/wsj_2058,3,"Although the network is n't connected *-2 to the computer systems that *T*-1 operate either Galileo or the shuttle , part of the network will carry analyses of Galileo data once the craft gets spaceborn .",1
nw/wsj/20/wsj_2058,11,NASA said 0 the Galileo worm had n't affected its computers or the computers of other government agencies because they had modified their systems *PRO*-1 to reject worms .,1
nw/wsj/20/wsj_2059,29,It *EXP*-5 is not my contention that either Mr. Chestman or Mr. Freeman was an innocent victim of prosecutorial overzealousness .,1
nw/wsj/21/wsj_2100,20,"Before , callers of 900 numbers would just listen and not talk , or they 'd vote `` yes '' or `` no '' by *PRO* calling one of two numbers .",0
nw/wsj/21/wsj_2106,20,"Far from *PRO*-1 being minimalist , the music unabatingly torments us with apparent novelties not so cleverly disguised * in the simplicities of 4/4 time , octave intervals , and ragtime or gospel chord progressions .",0
nw/wsj/21/wsj_2110,11,"The agency did n't cite specific situations where dual trading might be allowed *-1 *T*-3 , but smaller exchanges or contracts that *T*-2 need additional liquidity are expected *-4 to be among them .",0
nw/wsj/21/wsj_2112,26,But that ghost was n't fooled *-1 ; he knew 0 the RDF was neither rapid nor deployable nor a force -- even though it cost $ 8 billion *U* or $ 10 billion *U* a year .,0
nw/wsj/21/wsj_2112,52,Could n't we save $ 20 billion *U* or $ 30 billion *U* a year by *PRO* shifting that stuff to the reserves ?,1
nw/wsj/21/wsj_2116,3,"Amcast previously had said 0 it planned *PRO*-1 to repurchase shares , but did n't disclose when or how many shares it intended *PRO*-2 to buy *T*-3 back .",1
nw/wsj/21/wsj_2149,21,"He `` will not be shaken *-1 out by external events , however surprising , alarming or vexing ... .",1
nw/wsj/21/wsj_2149,28,"That Stevens himself is not grotesque or repellent , but funny and sad and enlightening , is entirely the author 's triumph .",1
nw/wsj/21/wsj_2153,54,"Although he does n't expect any bankruptcies , he does see more plants being sold or closed *-1 .",0
nw/wsj/21/wsj_2161,18,"`` The blood flows to your head , you feel lightheaded and you do n't feel tension around the head or neck , '' says *T*-1 Minnie Morey , an operations supervisor at the Social Security office in Grand Rapids , Mich. , where massages began last month *T*-2 .",1
nw/wsj/21/wsj_2170,5,"But , they say 0 *?* , people should n't try *PRO*-3 to be traders , who *T*-1 buy and sell in an effort *PRO* to ride the latest economic trend or catch the next hot stock .",1
nw/wsj/21/wsj_2170,18,"People also should n't invest money *ICH*-1 in stocks that they 'll need *T*-2 in the near future -- for example , for college tuition payments or retirement expenses .",1
nw/wsj/22/wsj_2200,17,"But Congress did n't anticipate or intend more public debt , say 0 *T*-1 opponents of the RTC 's working - capital plan , and Rep. Charles Schumer ( D. , N.Y . ) said 0 the RTC Oversight Board has been remiss in *PRO*-2 not keeping Congress *PRO*-3 informed .",1
nw/wsj/22/wsj_2207,18,"The bill would allow the secretary to reject a buy - out if sufficient information has n't been provided *-1 , or if the buy - out is likely *-2 to weaken the carrier financially , result in a substantial reduction in size of the airline through disposal of assets , or give control to a foreign interest .",0
nw/wsj/22/wsj_2230,10,"Still , despite the sudden reappearance of stock - market turbulence , managers of Japanese investment funds said 0 they were n't planning *PRO*-1 to unload U.S. or European equities .",1
nw/wsj/22/wsj_2232,45,"There was n't a lot of panic selling , either domestically or internationally ... .",1
nw/wsj/22/wsj_2264,7,The Stanley affair does n't bode well for the future of democracy or freedom of anything in Namibia when SWAPO starts *-2 running the government *T*-1 .,1
nw/wsj/22/wsj_2278,13,The space agency said 0 it did n't expect weather or protesters to block the liftoff .,1
nw/wsj/23/wsj_2303,12,"Not included * in the bid are *T*-1 Bonwit Teller or B. Altman & Co. , L.J. Hooker 's department - store chains .",0
nw/wsj/23/wsj_2321,7,"But Mrs. Hills , *PRO*-1 speaking at a breakfast meeting of the American Chamber of Commerce in Japan on Saturday , stressed that the objective `` is not *PRO* to get definitive action by spring or summer , it is rather *PRO* to have a blueprint for action . ''",1
nw/wsj/23/wsj_2321,20,I do n't feel either hard or soft .,1
nw/wsj/23/wsj_2334,2,"The real estate and thrift concern , *PRO*-1 operating under bankruptcy - law proceedings , said 0 it told the SEC 0 it could n't provide financial statements by the end of its first extension `` without unreasonable burden or expense . ''",1
nw/wsj/23/wsj_2357,10,"In Florida , Renee Mottram , a senior vice president at DWG , responded : 0 `` We do n't think 0 any individual or group should disrupt a winning system or illegally interfere with existing contractual relationships for their own self - serving motives .",2
nw/wsj/23/wsj_2361,43,"Since production costs were guaranteed *-2 , it *EXP*-3 did n't matter that a program could n't be sold *-4 abroad or put *-4 into syndication , as most American programs are *?* *-1 .",2
nw/wsj/23/wsj_2367,12,"At the lounge , manager Elizabeth Dyer wo n't admit patrons in jeans , T - shirts or tennis shoes .",1
nw/wsj/23/wsj_2376,71,"These sorts of takeovers do n't require junk bonds or big bank loans 0 *T*-2 to finance them , so Mr. Gabelli figures 0 they will continue .",1
nw/wsj/23/wsj_2381,21,"`` The last crash taught institutional investors that they have *-2 to be long - term holders , and that they ca n't react to short - term events , good or bad , '' said *T*-1 Stephen L. Nesbitt , senior vice president for the pension consultants Wilshire Associates in Santa Monica , Calif .",1
nw/wsj/24/wsj_2402,27,"Michelle lives in a hotel room , and although she drives a canary - colored Porsche , she has n't time 0 *PRO* to clean or repair it *T*-3 ; the beat - up vehicle can be started *-1 only with a huge pair of pliers because the ignition key has broken off in the lock .",1
nw/wsj/24/wsj_2412,17,But what about those of us whose views *T*-2 are not predetermined *-1 by formula or ideology ?,1
nw/wsj/24/wsj_2412,68,They are not enrolled in high school or college .,1
nw/wsj/24/wsj_2432,21,The offer does n't include Bonwit Teller or B. Altman .,1
nw/wsj/24/wsj_2444,45,What real - estate strategy should one follow *T*-2 in a metropolitan area whose economic health *T*-1 is not as easy 0 *PRO* to determine *T*-3 as Houston 's or Denver 's ?,1
wb/eng/00/eng_0000,85,"Would n't you expect some of the religious leaders to do it themselves , or to talk their sons into *PRO* doing it , if this is truly a supreme act of religious fervor ?",1
wb/eng/00/eng_0000,174,"There are naive old - fashioned habits such as *PRO* respecting religious sites and symbols , not using ambulances and hospitals for acts of war , avoiding the mutilation of dead bodies and not using children as human shields or human bombs .",2
wb/eng/00/eng_0000,200,"In the same way that no country has a law against cannibals eating its prime minister , because such an act is unthinkable *T*-1 , international law does not address killers shooting from hospitals , mosques and ambulances , while *PRO* being protected *-2 by their Government or society .",1
wb/eng/00/eng_0000,202,"International law does not know how *PRO* to deal with a leader of murderers who *T*-1 is royally and comfortably hosted *-2 by a country , which *T*-3 pretends *PRO*-4 to condemn his acts or just claims *PRO*-4 to be too weak *PRO*-5 to arrest him *T*-6 .",1
wb/eng/00/eng_0000,223,"I do not want *PRO*-1 to comment here on whether the American - led attack on Iraq was justified *-2 from the point of view of weapons of mass destruction or any other pre-war argument , but I can look at the post-war map of Western Asia .",1
wb/eng/00/eng_0001,35,"But if anybody else tried *PRO*-1 to duplicate it , I ca n't think of anyplace in my county where it would be allowed *-2 *T*-3 , or else the requirements would be so onerous 0 it could n't survive .",0
wb/eng/00/eng_0002,102,"but it is hardly unprecedented , and not worth quite the hype or hysteria 0 it is generating *T*-1 .",1
wb/eng/00/eng_0002,127,I predict ... 0 lots of folks will be taking harder looks at whether or not choices are choices or no choice '' is truly no choice .,1
wb/eng/00/eng_0002,152,"I do n't mind *PRO*-1 paying what it costs *T*-2 *PRO* to drive or paying what I owe *T*-3 ,",1
wb/eng/00/eng_0003,56,when was the last time 0 you were stuck *-1 in traffic *T*-2 that you were n't on your way to or from some sort of business *T*-3 *T*-4 ?,1
wb/eng/00/eng_0003,149,"You and I may or may not use the roads *PRO*-1 to go *PRO*-2 visit for a weekend poker game , or make a service call ,",1
wb/eng/00/eng_0003,157,"Until we have a tax structure where each of us pays our share *T*-1 , we ca n't very well complain about the newcomers or subsidies for someone else .",1
wb/eng/00/eng_0003,205,One of the most refreshing experiences is *PRO* to have an elected official honestly tell you that he / she simply can not support your request because It 's too expensive or because he / she simply does not support the request .,1
wb/eng/00/eng_0003,240,"Those that *T*-1 benefit should pay , but at the same time , we ca n't make egregious statements about who *T*-2 benefits , or who *T*-3 does n't .",1
wb/eng/00/eng_0004,127,"We are not going *-1 to pay for APF's up front , so it is a recipe for *PRO* creating either no development or only hoplessly expensive development",0
wb/eng/00/eng_0005,80,After *PRO* seeing the list of what *T*-1 would not be open and / or on duty ... which I 'm also quite sure 0 *T*-2 is not complete ... I 'll go out on a limb .... and predict ... that this will not happen,1
wb/eng/00/eng_0005,123,"And if you ca n't pay the state workers , you can not have contractors working either , because that is incurring debt whether you pay them immediately or not .",1
wb/eng/00/eng_0006,82,Were you aware that VDOT does not include projects that *T*-1 are n't `` on time '' or `` over budget '' in that figure ?,2
wb/eng/00/eng_0007,164,and it IS the infrastructure costs that *T*-1 are much more *ICH*-2 at issue than density per se because discussions of density .. seem *-3 to always flow back to infrastructure and not focus on density itself as a good or bad thing .,1
wb/eng/00/eng_0007,186,That means that you can not blame the new residents for increased capital costs that *T*-1 are really in support of new desires or needs on the part of all residents .,1
wb/eng/00/eng_0007,225,and I think 0 there would be strenuous disagreement with the claim that `` That means that you can not blame the new residents for increased capital costs that *T*-1 are really in support of new desires or needs on the part of all residents . '',1
wb/eng/00/eng_0008,24,There remain people who *T*-1 wo n't buy smarttags because they do n't want Big Brother *ICH*-2 to have the data ( or their spouse 's divorce lawyer . ),2
wb/eng/00/eng_0008,94,This will not end until the Dillon Rule is discarded *-1 in Virginia or Northern Virginia forms a separate state .,1
wb/eng/00/eng_0009,269,Was n't there a Michael Jackson video where he was envisioning himself as ruler of the world or some such *T*-1 ?,1
wb/eng/00/eng_0009,356,"But I think 0 you are making it up from a version that *T*-1 does n't exist in reality , or that *T*-2 ca n't be tied *-3 to Michael Jackson .",0
wb/eng/00/eng_0010,21,"*PRO* Do n't judge the troops too quickly , or too harshly , some write *T*-1 ,",1
wb/eng/00/eng_0010,158,"It 's not the `` Kill Bills '' or the video games that *T*-1 cause this bullshit , not even serial killer toys .",1
wb/eng/00/eng_0010,160,It 's not the movies ... or the games .,1
wb/eng/00/eng_0010,249,"Other amazing , hard 0 *PRO* to credit *T*-1 claims *ICH*-2 follow , the planes were holograms , or were n't there or whatever .",0
